ID,IS_HCP,TAXONOMY
115501,0.0,2084P0800X
115502,1.0,2084P0800X
115503,0.0,2084P0800X
115504,0.0,2084N0400X
115505,1.0,2084N0400X
115506,0.0,2084P0800X
115507,0.0,207Q00000X
115508,0.0,2084P0800X
115509,0.0,2084P0800X
115510,0.0,2084P0800X
115511,1.0,2084N0400X
115512,0.0,2084P0800X
115513,1.0,207Q00000X
115514,0.0,2084P0800X
115515,0.0,2084P0800X
115516,0.0,2084N0400X
115517,0.0,2084P0800X
115518,0.0,2084P0800X
115519,0.0,2084P0800X
115520,0.0,2084P0800X
115521,0.0,2084P0800X
115522,0.0,2084P0800X
115523,0.0,207Q00000X
115524,0.0,2084P0800X
115525,0.0,2084N0400X
115526,0.0,2084P0800X
115527,0.0,2084P0800X
115528,0.0,2084P0800X
115529,0.0,2084N0400X
115530,1.0,2084P0800X
115531,0.0,2084P0800X
115532,1.0,2084N0400X
115533,0.0,2084P0800X
115534,0.0,2084P0800X
115535,0.0,2084P0800X
115536,1.0,207RG0100X
115537,1.0,2084N0400X
115538,1.0,2084P0800X
115539,0.0,2084P0800X
115540,0.0,2084N0400X
115541,0.0,2084N0400X
115542,1.0,2084P0800X
115543,0.0,2084P0800X
115544,0.0,2084P0800X
115545,1.0,2084P0800X
115546,0.0,2084N0400X
115547,0.0,207Q00000X
115548,0.0,207Q00000X
115549,0.0,2084P0800X
115550,0.0,2084P0800X
115551,0.0,2084P0800X
115552,1.0,2084P0800X
115553,0.0,2084P0800X
115554,0.0,207R00000X
115555,1.0,2084N0400X
115556,0.0,2084N0400X
115557,0.0,2084N0400X
115558,0.0,2084P0800X
115559,0.0,2084P0800X
115560,0.0,2084P0800X
115561,0.0,2084P0800X
115562,0.0,2084P0800X
115563,0.0,2084P0800X
115564,0.0,2084P0800X
115565,0.0,2084P0800X
115566,1.0,2084N0400X
115567,0.0,2084N0400X
115568,0.0,2084N0400X
115569,0.0,2084P0800X
115570,0.0,2084P0800X
115571,0.0,2084P0800X
115572,0.0,2084N0400X
115573,0.0,2084N0400X
115574,0.0,2084P0800X
115575,0.0,2084P0800X
115576,1.0,2084P0800X
115577,1.0,2084P0800X
115578,1.0,2084P0800X
115579,1.0,2084N0400X
115580,1.0,2084N0400X
115581,0.0,2084N0400X
115582,1.0,207RG0100X
115583,0.0,2084N0400X
115584,0.0,2084P0800X
115585,1.0,207RC0200X
115586,0.0,2084P0800X
115587,1.0,207RG0100X
115588,0.0,207R00000X
115589,0.0,2084P0800X
115590,0.0,207Q00000X
115591,0.0,2084P0800X
115592,0.0,2084P0800X
115593,0.0,2084P0800X
115594,0.0,2084P0800X
115595,1.0,207RG0100X
115596,1.0,2084P0800X
115597,0.0,2084P0800X
115598,1.0,2084P0800X
115599,0.0,174400000X
115600,0.0,207R00000X
115601,1.0,207T00000X
115602,0.0,2084P0800X
115603,0.0,2084P0800X
115604,0.0,2084N0400X
115605,1.0,2084P0800X
115606,0.0,2084P0800X
115607,1.0,2084N0400X
115608,1.0,207QS0010X
115609,0.0,2084P0800X
115610,1.0,2084N0400X
115611,0.0,2084P0800X
115612,0.0,2084N0400X
115613,0.0,207Q00000X
115614,0.0,2084P0800X
115615,0.0,207Q00000X
115616,1.0,2084P0800X
115617,1.0,2084P0800X
115618,0.0,2084P0800X
115619,0.0,2084P0800X
115620,0.0,2084P0800X
115621,1.0,2084P0800X
115622,1.0,2084N0400X
115623,1.0,207RG0100X
115624,1.0,207RG0100X
115625,0.0,2084P0800X
115626,1.0,2084N0400X
115627,0.0,390200000X
115628,1.0,207R00000X
115629,0.0,2084P0800X
115630,0.0,2084P0800X
115631,0.0,2084P0800X
115632,0.0,2084P0800X
115633,0.0,2084P0800X
115634,0.0,2084P0800X
115635,1.0,2084P0800X
115636,0.0,2084P0800X
115637,0.0,2084P0800X
115638,0.0,2084P0800X
115639,0.0,2084N0400X
115640,0.0,2084P0800X
115641,0.0,2084P0800X
115642,0.0,2084N0400X
115643,0.0,2084P0800X
115644,1.0,207R00000X
115645,0.0,2084N0400X
115646,1.0,2084P0800X
115647,1.0,207RG0100X
115648,0.0,2084P0800X
115649,0.0,2084P0800X
115650,0.0,207R00000X
115651,0.0,2084P0800X
115652,0.0,2084N0400X
115653,1.0,2084P0800X
115654,1.0,2084P0800X
115655,0.0,2084P0800X
115656,0.0,2084P0800X
115657,1.0,2084N0400X
115658,0.0,2084N0400X
115659,0.0,2084N0400X
115660,0.0,2084P0800X
115661,0.0,2084P0800X
115662,0.0,2084P0800X
115663,0.0,2084P0800X
115664,1.0,2084P0800X
115665,1.0,207VM0101X
115666,0.0,2084P0804X
115667,0.0,2084P0800X
115668,1.0,174400000X
115669,0.0,2084N0400X
115670,0.0,2084P0800X
115671,1.0,2084N0400X
115672,0.0,2084N0400X
115673,0.0,2084P0800X
115674,0.0,2084P0800X
115675,0.0,2084N0400X
115676,0.0,207Q00000X
115677,0.0,2084P0800X
115678,0.0,2084N0400X
115679,0.0,2084P0800X
115680,0.0,2084P0800X
115681,1.0,2084P0800X
115682,1.0,2084N0400X
115683,1.0,2084P0800X
115684,0.0,2084P0800X
115685,0.0,2084P0800X
115686,0.0,2084P0800X
115687,0.0,2084P0800X
